archivo,grupo_noticia,identificador,titulo,url,fuente,fecha_publicacion,status_label,global_score,fiabilidad,adecuacion,claridad,profundidad,enfoque,num_alertas,num_alertas_high,num_alertas_medium,num_alertas_low,codigos_alerta
B10_69b32c88c269d89e0a66620d.json,id::7fc3f62ecbe23c644883ee6ce61e45ca5a17d566505a8bbc6eb968110844ceb5,7fc3f62ecbe23c644883ee6ce61e45ca5a17d566505a8bbc6eb968110844ceb5,Biden indulta a su hijo Hunter pese a haber asegurado que no lo haría,https://elpais.com/internacional/elecciones-usa/2024-12-02/el-presidente-biden-indulta-a-su-hijo-hunter-de-los-casos-de-posesion-ilegal-de-un-arma-y-fraude-fiscal.html,Elpais,2024-12-02T00:00:00,desinformativa,4.63,3.25,3.25,5.75,7.25,4.25,6,2,4,0,MISSING_ATTRIBUTION | NUMERIC_CLAIM_NO_SUPPORT | OPINION_AS_FACT | SENSATIONALISM | VAGUE_REFERENCES | WEAK_SOURCE
B11_69b32c88c269d89e0a66620d.json,id::7fc3f62ecbe23c644883ee6ce61e45ca5a17d566505a8bbc6eb968110844ceb5,7fc3f62ecbe23c644883ee6ce61e45ca5a17d566505a8bbc6eb968110844ceb5,Biden indulta a su hijo Hunter pese a haber asegurado que no lo haría,https://elpais.com/internacional/elecciones-usa/2024-12-02/el-presidente-biden-indulta-a-su-hijo-hunter-de-los-casos-de-posesion-ilegal-de-un-arma-y-fraude-fiscal.html,Elpais,2024-12-02T00:00:00,desinformativa,4.35,3.25,4.25,3.25,6.75,4.25,7,2,5,0,IMPLIED_CAUSALITY | MISSING_ATTRIBUTION | MISSING_IMPLICATIONS | OPINION_AS_FACT | STRUCTURE_BREAK | VAGUE_REFERENCES | WEAK_SOURCE
B12_69b32c88c269d89e0a66620d.json,id::7fc3f62ecbe23c644883ee6ce61e45ca5a17d566505a8bbc6eb968110844ceb5,7fc3f62ecbe23c644883ee6ce61e45ca5a17d566505a8bbc6eb968110844ceb5,Biden indulta a su hijo Hunter pese a haber asegurado que no lo haría,https://elpais.com/internacional/elecciones-usa/2024-12-02/el-presidente-biden-indulta-a-su-hijo-hunter-de-los-casos-de-posesion-ilegal-de-un-arma-y-fraude-fiscal.html,Elpais,2024-12-02T00:00:00,desinformativa,4.45,3.75,4.25,5.75,3.25,5.75,5,2,3,0,MISSING_ATTRIBUTION | NUMERIC_CLAIM_NO_SUPPORT | OPINION_AS_FACT | SENSATIONALISM | VAGUE_REFERENCES
B13_69b32c88c269d89e0a66620d.json,id::7fc3f62ecbe23c644883ee6ce61e45ca5a17d566505a8bbc6eb968110844ceb5,7fc3f62ecbe23c644883ee6ce61e45ca5a17d566505a8bbc6eb968110844ceb5,Biden indulta a su hijo Hunter pese a haber asegurado que no lo haría,https://elpais.com/internacional/elecciones-usa/2024-12-02/el-presidente-biden-indulta-a-su-hijo-hunter-de-los-casos-de-posesion-ilegal-de-un-arma-y-fraude-fiscal.html,Elpais,2024-12-02T00:00:00,desinformativa,5.08,3.25,4.25,4.75,6.75,6.75,7,3,3,1,LOADED_LANGUAGE | MISSING_ATTRIBUTION | MISSING_IMPLICATIONS | OPINION_AS_FACT | SENSATIONALISM | STRUCTURE_BREAK | VAGUE_REFERENCES
B14_69b32c88c269d89e0a66620d.json,id::7fc3f62ecbe23c644883ee6ce61e45ca5a17d566505a8bbc6eb968110844ceb5,7fc3f62ecbe23c644883ee6ce61e45ca5a17d566505a8bbc6eb968110844ceb5,Biden indulta a su hijo Hunter pese a haber asegurado que no lo haría,https://elpais.com/internacional/elecciones-usa/2024-12-02/el-presidente-biden-indulta-a-su-hijo-hunter-de-los-casos-de-posesion-ilegal-de-un-arma-y-fraude-fiscal.html,Elpais,2024-12-02T00:00:00,irrelevante,5.18,4.25,5.25,5.75,6.75,4.25,7,3,4,0,MISSING_ATTRIBUTION | MISSING_IMPLICATIONS | OPINION_AS_FACT | RESERVA_EPISTEMICA_FA | SENSATIONALISM | VAGUE_REFERENCES | WEAK_SOURCE
B15_69b32c88c269d89e0a66620d.json,id::7fc3f62ecbe23c644883ee6ce61e45ca5a17d566505a8bbc6eb968110844ceb5,7fc3f62ecbe23c644883ee6ce61e45ca5a17d566505a8bbc6eb968110844ceb5,Biden indulta a su hijo Hunter pese a haber asegurado que no lo haría,https://elpais.com/internacional/elecciones-usa/2024-12-02/el-presidente-biden-indulta-a-su-hijo-hunter-de-los-casos-de-posesion-ilegal-de-un-arma-y-fraude-fiscal.html,Elpais,2024-12-02T00:00:00,desinformativa,5.1,3.25,5.75,4.25,6.75,5.75,5,2,3,0,MISSING_ATTRIBUTION | NO_CONTEXT_WHEN_NEEDED | OPINION_AS_FACT | SENSATIONALISM | VAGUE_REFERENCES
B16_69b32c88c269d89e0a66620d.json,id::7fc3f62ecbe23c644883ee6ce61e45ca5a17d566505a8bbc6eb968110844ceb5,7fc3f62ecbe23c644883ee6ce61e45ca5a17d566505a8bbc6eb968110844ceb5,Biden indulta a su hijo Hunter pese a haber asegurado que no lo haría,https://elpais.com/internacional/elecciones-usa/2024-12-02/el-presidente-biden-indulta-a-su-hijo-hunter-de-los-casos-de-posesion-ilegal-de-un-arma-y-fraude-fiscal.html,Elpais,2024-12-02T00:00:00,desinformativa,5.05,3.25,4.25,5.25,7.25,5.75,7,3,4,0,MISPLACED_FOCUS | MISSING_IMPLICATIONS | OPINION_AS_FACT | STRUCTURE_BREAK | UNVERIFIED_CLAIM | VAGUE_REFERENCES | WEAK_SOURCE
B17_69b32c88c269d89e0a66620d.json,id::7fc3f62ecbe23c644883ee6ce61e45ca5a17d566505a8bbc6eb968110844ceb5,7fc3f62ecbe23c644883ee6ce61e45ca5a17d566505a8bbc6eb968110844ceb5,Biden indulta a su hijo Hunter pese a haber asegurado que no lo haría,https://elpais.com/internacional/elecciones-usa/2024-12-02/el-presidente-biden-indulta-a-su-hijo-hunter-de-los-casos-de-posesion-ilegal-de-un-arma-y-fraude-fiscal.html,Elpais,2024-12-02T00:00:00,desinformativa,5.18,3.25,4.25,6.75,6.75,5.75,5,2,3,0,MISPLACED_FOCUS | MISSING_ATTRIBUTION | MISSING_IMPLICATIONS | OPINION_AS_FACT | VAGUE_REFERENCES
B18_69b32c88c269d89e0a66620d.json,id::7fc3f62ecbe23c644883ee6ce61e45ca5a17d566505a8bbc6eb968110844ceb5,7fc3f62ecbe23c644883ee6ce61e45ca5a17d566505a8bbc6eb968110844ceb5,Biden indulta a su hijo Hunter pese a haber asegurado que no lo haría,https://elpais.com/internacional/elecciones-usa/2024-12-02/el-presidente-biden-indulta-a-su-hijo-hunter-de-los-casos-de-posesion-ilegal-de-un-arma-y-fraude-fiscal.html,Elpais,2024-12-02T00:00:00,desinformativa,5.68,3.25,5.75,6.75,6.75,6.75,7,2,5,0,MISSING_ATTRIBUTION | MISSING_IMPLICATIONS | NO_CONTEXT_WHEN_NEEDED | OPINION_AS_FACT | UNVERIFIED_CLAIM | VAGUE_REFERENCES | WEAK_SOURCE
B19_69b32c88c269d89e0a66620d.json,id::7fc3f62ecbe23c644883ee6ce61e45ca5a17d566505a8bbc6eb968110844ceb5,7fc3f62ecbe23c644883ee6ce61e45ca5a17d566505a8bbc6eb968110844ceb5,Biden indulta a su hijo Hunter pese a haber asegurado que no lo haría,https://elpais.com/internacional/elecciones-usa/2024-12-02/el-presidente-biden-indulta-a-su-hijo-hunter-de-los-casos-de-posesion-ilegal-de-un-arma-y-fraude-fiscal.html,Elpais,2024-12-02T00:00:00,desinformativa,5.18,3.25,6.75,6.75,4.25,5.75,7,2,5,0,LOADED_LANGUAGE | MISPLACED_FOCUS | MISSING_ATTRIBUTION | NO_CONTEXT_WHEN_NEEDED | OPINION_AS_FACT | SCORE_ALERT_INCONSISTENCY | UNVERIFIED_CLAIM
